term,language,definition,categories,target
guerro,Spanish,A word used in Mexico to denote a person of fair complexion or with blond or red hair,,
guidette,English,A woman of Italian descent,Ethnicity,Italian
guidettes,English,A woman of Italian descent,Ethnicity,Italian
guido,English,An Italian-American male. Derives from the Italian given name Guido. Used mostly in the Northeastern United States as a stereotype for working-class urban Italian-Americans.,Nationality,Italy
guidos,English,An Italian-American male. Derives from the Italian given name Guido. Used mostly in the Northeastern United States as a stereotype for working-class urban Italian-Americans.,Nationality,Italy
guinea,English,A person of Italian birth or descent. Most likely derived from Guinea Negro implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive Ginzo probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.,Nationality,Italy
guineas,English,A person of Italian birth or descent. Most likely derived from Guinea Negro implying that Italians are dark or swarthy-skinned like the natives of Guinea. The diminutive Ginzo probably dates back to World War II and is derived from Australian slang picked up by US servicemen in the Pacific Theater.,Nationality,Italy
guizi,Chinese,Pejorative term used in Mainland China and Taiwan to denote foreigners especially millitary enemies such as riben guizi (Japanese devils because of Second Sino-Japanese War) and meiguo guizi (American devils because of Korean War).,Ethnicity,Chinese
gummihals,Swiss German,Swiss German for rubber-neck. Perhaps based on the stereotype of Germans talking too much or nodding their heads endlessly when listening to superiors.,Nationality,Germany
gun burglar,English,In Australia a white person having casual sex with an Aboriginal woman. Pejorative.,Ethnicity,
gun burglars,English,In Australia a white person having casual sex with an Aboriginal woman. Pejorative.,Ethnicity,
gurrier,English,In Ireland a disreputable or delinquent person,Class,
gurriers,English,In Ireland a disreputable or delinquent person,Class,
gwailo,Chinese,Pejorative term used in south of Mainland China and Hong Kong to denote a white man. Loosely translated as foreign devil; more literally might be ghost dude/bloke/guy/etc. Gwei means ghost. The color white is associated with ghosts in China. A lo is a regular guy (i.e. a fellow a chap or a bloke). Once a mark of xenophobia the word is now in general informal use but still considered derogatory.,Ethnicity,Chinese
Gwat,English,Short for Guatemalan.,Nationality,Guatemala
Gwats,English,Short for Guatemalan.,Nationality,Guatemala
gweilo,Chinese,Pejorative term used in south of Mainland China and Hong Kong to denote a white man. Loosely translated as foreign devil; more literally might be ghost dude/bloke/guy/etc. Gwei means ghost. The color white is associated with ghosts in China. A lo is a regular guy (i.e. a fellow a chap or a bloke). Once a mark of xenophobia the word is now in general informal use but still considered derogatory.,Ethnicity,Chinese
gyp,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gypo,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gypoes,English,,Ethnicity,Romani
gypos,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gypped,English,To be cheated or stolen from derived from gypsy,Ethnicity,Romani
gyppie,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gyppies,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gyppo,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gyppoes,English,,Ethnicity,Romani
gyppos,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gyppy,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gyps,English,A Romani people. Egyptians. These are variations of Gypsy the most common word in English for people of Romani origin. Gypsy is not in itself an ethnic slur but its usage is sometimes controversial.,Ethnicity,Egyptian
gypsi,English,,Ethnicity,Romani
gypsies,English,Derogatory term for the Roma people,Ethnicity,Romani
gypsy,English,Derogatory term for the Roma people,Ethnicity,Romani
haatbaard,Dutch,A radicalized Muslim,Religion,Islam
haatbaarden,Dutch,A radicalized Muslim,Religion,Islam
haatbaardje,Dutch,A radicalized Muslim,Religion,Islam
haatmeneer,Dutch,Muslim typically Moroccan. Originally referred to one person later generalised.,Ethnicity,Islam
habashee,Hindi,,Ethnicity,African
habaśī,Hindi,,Ethnicity,African
habshee,Hindi,,Ethnicity,African
habśī,Hindi,,Ethnicity,African
hắc chủng,Vietnamese,A person of African descent,Ethnicity,African
hadji,English,,Ethnicity,Arabs
hadjis,English,,Ethnicity,Arabs
hagwei,Chinese,A black person from the Chinese for black devil or demon.,Ethnicity,
hai phai,Vietnamese,Homosexual,Sexual Orientation,Homosexual
hairyback,English,A derogatory term for Afrikaners,Ethnicity,Afrikaner
hairybacks,English,A derogatory term for Afrikaners,Ethnicity,Afrikaner
haji,English,Used to refer to Iraqis Arabs Afghans or Middle Eastern and South Asian people in general. Derived from the honorific Al-Hajji the title given to a Muslim who has completed the Hajj (pilgrimage to Mecca).,Ethnicity,Arabs
hajis,English,,Ethnicity,Arabs
hajji,English,,Ethnicity,Arabs
hajjis,English,,Ethnicity,Arabs
halala,English,Slur that implies Muslims as children of immoral or bastard birth. From Nikah halala a law that requires a woman to marry another man in order to return to her first husband.,Religion,Islam
halalability,English,Slur referencing purported desire of Muslims to convert everyone to Islam,Religion,Islam
halalification,English,Slur referencing purported desire of Muslims to convert everyone to Islam,Religion,Islam
halalify,https://hatebase.org/vocabulary/halalify,Slur referencing purported desire of Muslims to convert everyone to Islam,Religion,Islam
haleneger,Danish,An uncivilized person especially directed at those with dark skin,Ethnicity,African
half bred,English,,Ethnicity,
half breed,English,One who is of mixed race particularly half Native American and half European Can refer to mixed parentage among other non-human species or to an eponymous 1973 Cher song.,Ethnicity,Aboriginal
half breeds,English,One who is of mixed race.,Ethnicity,
halfrican,English,Denotes a person that is half African.,Ethnicity,
halfricans,English,Denotes a person that is half African.,Ethnicity,
hamba,Sinhala,,Religion,Islam
hambaya,Sinhala,In Sri Lanka a pejorative term for a Muslim.,Religion,Islam
hambayage,Sinhala,In Sri Lanka a pejorative term for a Muslim.,Religion,Islam
hambayange,Sinhala,In Sri Lanka a pejorative term for a Muslim.,Religion,Islam
hambayo,Sinhala,Muslim,Religion,Islam
han nichi,Japanese,Enemy of Japan,Nationality,
handicapat,Romanian,Disabled,Disability,
Hans,Turkish,Used for any Germanic people including the Dutch and Flemish.,Nationality,Belgium
haole,Hawaiian,A non-native used by Hawaiians mainly to refer to whites (less commonly to refer to non-Hawaiians). Can be used neutrally dependent on context.,Ethnicity,
hapankaali,Finnish,A person of German descent from sauerkraut. Used pejoratively very infrequently if at all in modern times. Sauerkraut,Nationality,Germany
hapshi,Hindi,A black person originating from slavery in ancient India.,Ethnicity,Arabs
haraamee,Hindi,,Disability,
harambe,English,racist word for a dark complected person Western lowland gorilla at Cincinnati Zoo and Botanical Gardens,Ethnicity,
harāmī,Hindi,,Disability,
hatzi,English,,Ethnicity,Arabs
hatzis,English,,Ethnicity,Arabs
häxa,Swedish,An unpleasant woman A witch,Gender,Female
häxan,Swedish,An unpleasant woman A witch,Gender,Female
häxans,Swedish,An unpleasant woman A witch,Gender,Female
häxas,Swedish,An unpleasant woman A witch,Gender,Female
häxor,Swedish,An unpleasant woman A witch,Gender,Female
häxorna,Swedish,An unpleasant woman A witch,Gender,Female
häxornas,Swedish,An unpleasant woman A witch,Gender,Female
häxors,Swedish,An unpleasant woman A witch,Gender,Female
hayquay,Chinese,A black person from the Chinese for black devil or demon.,Ethnicity,Chinese
hayseed,English,A rural person.,Class,
hayseeds,English,A rural person.,Class,
hebe,English,A Jewish person derived from the word Hebrew. A type of shrub,Ethnicity,Jews
hebes,English,A Jewish person derived from the word Hebrew. A type of shrub,Ethnicity,Jews
hebro,English,A black Jew from the combination of Hebrew and bro.,Ethnicity,Judaism
hebros,English,A black Jew from the combination of Hebrew and bro.,Ethnicity,Judaism
heeb,English,A Jewish person derived from the word Hebrew.,Ethnicity,Judaism
heebs,English,A Jewish person derived from the word Hebrew.,Ethnicity,Judaism
heinie,English,A person of German descent.,Nationality,Germany
heinies,English,A person of German descent.,Nationality,Germany
Helga,Polish,Helga from German name Helga. It is a term to describe a German woman usually tall blue-eyed blond and strongly built which are considered typical physical features of German women. It also implies the negative opinion about this kind of look.,Nationality,Germany
hick,English,A rural person.,Class,
hicks,English,A rural person.,Class,
hiekkaneekeri,Finnish,Sand nigger,Ethnicity,Arabs
hiekkaneekerit,Finnish,Sand nigger,Ethnicity,Arabs
higger,English,A Hindu person with preceived black mannerisms.,Ethnicity,Hinduism
higgers,English,A Hindu person with preceived black mannerisms.,Ethnicity,Hinduism
hillbillies,English,A rural person particularly Americans of Appalachia or Ozark heritage.,,
hillbilly,English,A rural person particularly Americans of Appalachia or Ozark heritage.,,
himbo,English,A vacuous man,Gender,Male
hintit,Finnish,Faggot,Sexual Orientation,Homosexual
hinttari,Finnish,Faggot,Sexual Orientation,Homosexual
hinttarit,Finnish,Faggot,Sexual Orientation,Homosexual
hintti,Finnish,Faggot,Sexual Orientation,Homosexual
hitam,Indonesian,A dark skinned person,Ethnicity,Arabs
